now,time
2020-10-20-10-19-29,"1563
"
2020-10-20-10-19-35,"1328
"
2020-10-20-10-19-41,"1329
"
2020-10-20-10-19-48,"1411
"
2020-10-20-10-19-54,"1352
"
now,time
2020-10-20-10-34-30,"1768
"
now,time
2020-10-20-10-34-30,"1768
"
2020-10-20-10-34-37,"1431
"
now,time
2020-10-20-10-34-30,"1768
"
2020-10-20-10-34-37,"1431
"
2020-10-20-10-34-43,"1402
"
now,time
2020-10-20-10-34-30,"1768
"
2020-10-20-10-34-37,"1431
"
2020-10-20-10-34-43,"1402
"
2020-10-20-10-34-49,"1385
"
now,time
2020-10-20-10-34-30,"1768
"
2020-10-20-10-34-37,"1431
"
2020-10-20-10-34-43,"1402
"
2020-10-20-10-34-49,"1385
"
2020-10-20-10-34-56,"1483
"
now,time
2020-10-20-10-36-26,"1553
"
now,time
2020-10-20-10-36-26,"1553
"
2020-10-20-10-36-33,"1872
"
now,time
2020-10-20-10-36-26,"1553
"
2020-10-20-10-36-33,"1872
"
2020-10-20-10-36-39,"1356
"
now,time
2020-10-20-10-36-26,"1553
"
2020-10-20-10-36-33,"1872
"
2020-10-20-10-36-39,"1356
"
2020-10-20-10-36-45,"1423
"
now,time
2020-10-20-10-36-26,"1553
"
2020-10-20-10-36-33,"1872
"
2020-10-20-10-36-39,"1356
"
2020-10-20-10-36-45,"1423
"
2020-10-20-10-36-51,"1393
"
now,time
2020-10-20-10-36-26,"1553
"
2020-10-20-10-36-33,"1872
"
2020-10-20-10-36-39,"1356
"
2020-10-20-10-36-45,"1423
"
2020-10-20-10-36-51,"1393
"
2020-10-20-10-36-58,"1364
"
now,time
2020-10-20-10-36-26,"1553
"
2020-10-20-10-36-33,"1872
"
2020-10-20-10-36-39,"1356
"
2020-10-20-10-36-45,"1423
"
2020-10-20-10-36-51,"1393
"
2020-10-20-10-36-58,"1364
"
2020-10-20-10-37-04,"1322
"
now,time
2020-10-20-10-36-26,"1553
"
2020-10-20-10-36-33,"1872
"
2020-10-20-10-36-39,"1356
"
2020-10-20-10-36-45,"1423
"
2020-10-20-10-36-51,"1393
"
2020-10-20-10-36-58,"1364
"
2020-10-20-10-37-04,"1322
"
2020-10-20-10-37-10,"1345
"
now,time
2020-10-20-10-36-26,"1553
"
2020-10-20-10-36-33,"1872
"
2020-10-20-10-36-39,"1356
"
2020-10-20-10-36-45,"1423
"
2020-10-20-10-36-51,"1393
"
2020-10-20-10-36-58,"1364
"
2020-10-20-10-37-04,"1322
"
2020-10-20-10-37-10,"1345
"
2020-10-20-10-37-17,"1404
"
now,time
2020-10-20-10-36-26,"1553
"
2020-10-20-10-36-33,"1872
"
2020-10-20-10-36-39,"1356
"
2020-10-20-10-36-45,"1423
"
2020-10-20-10-36-51,"1393
"
2020-10-20-10-36-58,"1364
"
2020-10-20-10-37-04,"1322
"
2020-10-20-10-37-10,"1345
"
2020-10-20-10-37-17,"1404
"
2020-10-20-10-37-23,"1445
"
now,time
2020-10-20--10:44:18,3
now,time
2020-10-20--10:44:18,0
now,time
2020-10-20--10:44:18,3
2020-10-20--10:44:23,159
now,time
2020-10-20--10:44:18,0
2020-10-20--10:44:23,123
now,time
2020-10-20--10:44:18,3
2020-10-20--10:44:23,159
2020-10-20--10:44:29,323
now,time
2020-10-20--10:44:18,0
2020-10-20--10:44:23,123
2020-10-20--10:44:29,131
now,time
2020-10-20--10:44:18,3
2020-10-20--10:44:23,159
2020-10-20--10:44:29,323
2020-10-20--10:44:34,139
now,time
2020-10-20--10:44:18,0
2020-10-20--10:44:23,123
2020-10-20--10:44:29,131
2020-10-20--10:44:34,106
now,time
2020-10-20--10:44:18,3
2020-10-20--10:44:23,159
2020-10-20--10:44:29,323
2020-10-20--10:44:34,139
2020-10-20--10:44:40,633
now,time
2020-10-20--10:44:18,0
2020-10-20--10:44:23,123
2020-10-20--10:44:29,131
2020-10-20--10:44:34,106
2020-10-20--10:44:40,18
now,time
2020-10-20--10:44:18,3
2020-10-20--10:44:23,159
2020-10-20--10:44:29,323
2020-10-20--10:44:34,139
2020-10-20--10:44:40,633
2020-10-20--10:44:45,402
now,time
2020-10-20--10:44:18,0
2020-10-20--10:44:23,123
2020-10-20--10:44:29,131
2020-10-20--10:44:34,106
2020-10-20--10:44:40,18
2020-10-20--10:44:45,402
now,time
2020-10-20--10:44:18,0
2020-10-20--10:44:23,123
2020-10-20--10:44:29,131
2020-10-20--10:44:34,106
2020-10-20--10:44:40,18
2020-10-20--10:44:45,402
2020-10-20--10:44:51,114
now,time
2020-10-20--10:44:18,3
2020-10-20--10:44:23,159
2020-10-20--10:44:29,323
2020-10-20--10:44:34,139
2020-10-20--10:44:40,633
2020-10-20--10:44:45,402
2020-10-20--10:44:51,114
now,time
2020-10-20--10:44:18,3
2020-10-20--10:44:23,159
2020-10-20--10:44:29,323
2020-10-20--10:44:34,139
2020-10-20--10:44:40,633
2020-10-20--10:44:45,402
2020-10-20--10:44:51,114
2020-10-20--10:44:56,504
now,time
2020-10-20--10:44:18,0
2020-10-20--10:44:23,123
2020-10-20--10:44:29,131
2020-10-20--10:44:34,106
2020-10-20--10:44:40,18
2020-10-20--10:44:45,402
2020-10-20--10:44:51,114
2020-10-20--10:44:56,504
2020-10-20--10:45:02,114
now,time
2020-10-20--10:44:18,3
2020-10-20--10:44:23,159
2020-10-20--10:44:29,323
2020-10-20--10:44:34,139
2020-10-20--10:44:40,633
2020-10-20--10:44:45,402
2020-10-20--10:44:51,114
2020-10-20--10:44:56,504
2020-10-20--10:45:02,115
now,time
2020-10-20--10:44:18,3
2020-10-20--10:44:23,159
2020-10-20--10:44:29,323
2020-10-20--10:44:34,139
2020-10-20--10:44:40,633
2020-10-20--10:44:45,402
2020-10-20--10:44:51,114
2020-10-20--10:44:56,504
2020-10-20--10:45:02,115
2020-10-20--10:45:07,124
now,time
2020-10-20--10:44:18,0
2020-10-20--10:44:23,123
2020-10-20--10:44:29,131
2020-10-20--10:44:34,106
2020-10-20--10:44:40,18
2020-10-20--10:44:45,402
2020-10-20--10:44:51,114
2020-10-20--10:44:56,504
2020-10-20--10:45:02,114
2020-10-20--10:45:07,124
now,time
2020-10-20  10:46:30,119
now,time
2020-10-20  10:46:30,119
2020-10-20  10:46:35,101
